release_year,original_title,revenue
2009,Avatar,2847246203
2019,Avengers: Endgame,2797800564
1997,Titanic,2187463944
2015,Star Wars: The Force Awakens,2068223624
2018,Avengers: Infinity War,2046239637
2012,The Avengers,1518815515
2011,Harry Potter and the Deathly Hallows: Part 2,1341511219
2017,Star Wars: The Last Jedi,1332539889
2013,Frozen,1274219009
2016,Captain America: Civil War,1153296293
2003,The Lord of the Rings: The Return of the King,1118888979
2010,Toy Story 3,1066969703
2006,Pirates of the Caribbean: Dead Man's Chest,1065659812
2008,The Dark Knight,1004558444
2001,Harry Potter and the Philosopher's Stone,976475550
2007,Pirates of the Caribbean: At World's End,961000000
2014,The Hobbit: The Battle of the Five Armies,956019788
2004,Shrek 2,928760770
2002,The Lord of the Rings: The Two Towers,926287400
1999,Star Wars: Episode I - The Phantom Menace,924317558
1993,Jurassic Park,920100000
2005,Harry Potter and the Goblet of Fire,895921036
1996,Independence Day,817400891
1982,E.T. the Extra-Terrestrial,792965500
1977,Star Wars,775398007
1994,The Lion King,763455561
2021,F9,721077945
1983,Return of the Jedi,572700000
1951,Alice in Wonderland,572000000
1998,Armageddon,553799566
2000,Mission: Impossible II,546388105
1980,The Empire Strikes Back,538400000
1991,Terminator 2: Judgment Day,520000000
1990,Ghost,505000000
1992,Aladdin,504050219
2020,劇場版「鬼滅の刃」無限列車編,503063688
1989,Indiana Jones and the Last Crusade,474171806
1975,Jaws,470653000
1973,The Exorcist,441306145
1981,Raiders of the Lost Ark,389925971
1985,Back to the Future,381109762
1995,Toy Story,373554033
1988,Rain Man,354825435
1984,Indiana Jones and the Temple of Doom,333000000
1986,Crocodile Dundee,328203506
1987,Fatal Attraction,320145693
1978,Superman,300218018
1965,The Sound of Music,286214286
1942,Bambi,267447150
1950,Cinderella,263591415
1972,The Godfather,245066411
1979,Moonraker,210308099
1967,The Jungle Book,205843612
1959,Ben-Hur,164000000
1964,Goldfinger,124881062
1956,The Ten Commandments,122700000
1974,Blazing Saddles,119500000
1976,Rocky,117235147
1971,Diamonds Are Forever,116019547
1969,Butch Cassidy and the Sundance Kid,102308889
1953,Peter Pan,87404651
1940,Pinocchio,84300000
1963,From Russia with Love,78898765
1968,2001: A Space Odyssey,71923560
1962,Lawrence of Arabia,69995385
1960,Spartacus,60000000
1970,The Aristocats,55675257
1957,The Bridge on the River Kwai,44908000
1954,Rear Window,37034514
1955,Lady and the Tramp,36359037
1939,The Wizard of Oz,33754967
1961,The Guns of Navarone,28900000
1966,"Il buono, il brutto, il cattivo",25118063
1946,Notorious,24500000
1941,Citizen Kane,23218000
1943,For Whom the Bell Tolls,17800000
1958,Cat on a Hot Tin Roof,17570324
1931,Frankenstein,12000000
1949,Samson and Delilah,11500000
1952,The African Queen,10750000
1933,King Kong,10000000
1936,Modern Times,8500000
1945,Spellbound,7000000
1934,It Happened One Night,4500000
1935,Mutiny on the Bounty,4460000
1948,The Treasure of the Sierra Madre,4307000
1925,The Gold Rush,4000000
1938,The Adventures of Robin Hood,3981000
1947,Miracle on 34th Street,2700000
1932,Grand Hotel,2594000
1923,Safety Last!,1500000
1926,The General,1000000
1927,Metropolis,650422
1922,"Nosferatu, eine Symphonie des Grauens",19054
1920,Das Cabinet des Dr. Caligari,8811
2023,Fast & Furious 10,0
2022,Morbius,0
2022,Spider-Man: Across the Spider-Verse,0
2022,John Wick: Chapter 4 - Hagakure,0
2022,Avatar 2,0
2022,The Flash,0
2022,Sonic the Hedgehog 2,0
2022,Transformers: Rise of the Beasts,0
2022,The Batman,0
2022,A través de mi ventana,0
2022,Halloween Ends,0
2022,Jurassic World: Dominion,0
2022,Minions: The Rise of Gru,0
2023,Guardians of the Galaxy Vol. 3,0
2022,Fantastic Beasts: The Secrets of Dumbledore,0
2022,Scream,0
2022,Top Gun: Maverick,0
2024,Avatar 3,0
2022,Aquaman and The Lost Kingdom,0
2026,Avatar 4,0
2022,Doctor Strange in the Multiverse of Madness,0
2022,Thor: Love and Thunder,0
2028,Avatar 5,0
2023,Shazam! Fury of the Gods,0
2023,Dune: Part Two,0
2022,Lightyear,0
2022,The Black Phone,0
2022,Uncharted,0
2022,Black Panther: Wakanda Forever,0
2022,Moonfall,0
2023,The Marvels,0
2022,Creed III,0
2022,Jackass Forever,0
2022,Black Adam,0
2022,Mission: Impossible 7,0
2023,Ant-Man and the Wasp: Quantumania,0
2022,범죄도시 2,0
2022,Turning Red,0
2023,The Little Mermaid,0
2022,Insidious: The Dark Realm,0
1902,Le Voyage dans la Lune,0
2023,Mission: Impossible 8,0
2022,Ambulance,0
1928,"Steamboat Bill, Jr.",0
2022,Rumble,0
1924,Sherlock Jr.,0
1944,The Three Caballeros,0
