original_title,tagline,tagline_length
Dracula 3000,they see a tape of fifty years ago of Captain Varna telling that he was locked in his cabin since his crew was acting weird after getting a cargo of coffins in Transylvania station. When 187 decides to search in the coffins for some possible hidden dope,254
Singing in Oblivion,though passersby noted it sounded as if a paradise of birds was locked behind its high stone walls. The graveyard today bears further scars of political and inertial neglect. Without the care of generations displaced or killed during the Nazi era,247
Stay Alive,the kids begin to play the grisly game but soon make a chilling connection -- they are each being murdered one-by-one in the same way as the characters they played in the game. As the line between the game world and the real world disappears,242
Woman on Top,a sultry enchantress born with the special gift of melting the palates and hearts of men everywhere. When she decides to break free from her rocky marriage and the stifling kitchen of her husband's restaurant in Brazil,219
I Walked with a Zombie,See this strange; strange story of a woman whose lure set brother against brother; whose love caused hate—and whose beauty bowed to the will of an evil spell in whose power we must refuse to believe—EVEN IF IT'S TRUE!,217
Moonwalker,"and then a movie in which Michael plays a hero with magical powers. In it he is chased by drug dealer Mr. Big and saves three children. Videos included in the movie are \"\"Smooth Criminal\"\" and \"\"Come Together\"\".\"",213
Modern Times,He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs; cries and thrills to his priceless genius!,206
Monkey Shines,Once there was a man whose prison was a chair. The man had a monkey; they made the strangest pair. The monkey ruled the man; it climbed inside his head. And now as fate would have it; one of them is dead.,204
Galaxy Quest,"aliens under attack have mistaken the Galaxy Quest television transmissions for \"\"historical documents\"\" and beam up the crew of has-been actors to save the universe. With no script",182
The Messengers,There is evidence to suggest that children are highly susceptible to paranormal phenomena. They see what adults cannot. They believe what adults deny. And they are trying to warn us.,182
