original_title,runtime
Toy Story 4,1073394593
The Hunger Games: Catching Fire,847423452
Inception,825532764
Gone with the Wind,402352579
Spider-Man: Into the Spider-Verse,375540831
A Bug's Life,363258859
Top Gun,356830601
Enchanted,340487652
Inglourious Basterds,321455689
Ghostbusters,296187079
The Tourist,278731369
Dumb and Dumber,247275374
8 Mile,242875078
Gone in Sixty Seconds,237202299
The Help,216639112
Everest,203427584
Snow White and the Seven Dwarfs,184925486
In the Line of Fire,176997168
Evan Almighty,174440724
The Island,162949164
The Mexican,147845033
借りぐらしのアリエッティ,145570827
Scary Movie 2,141220678
17 Again,136267476
Anaconda,136000000
Blade,131183530
Star Trek: Insurrection,118000000
Jackass 3D,117224271
Coyote Ugly,113916474
Courage Under Fire,100860818
Fight Club,100853753
Hitman,99965753
The Fighter,93617009
Patton,89800000
"South Park: Bigger, Longer & Uncut",83137603
Letters to Juliet,82148538
Catwoman,82102379
Next,76066841
The Cannonball Run,72179579
The Royal Tenenbaums,71441250
3:10 to Yuma,70016220
License to Wed,69307224
Takers,69055695
ゲド戦記,68625104
Jeepers Creepers 2,63102666
Nobody,61779301
The Ant Bully,55181129
The Shadow,48063435
The Tigger Movie,45554533
Midnight Cowboy,44785053
Notorious,43051547
Legend,42972994
Undercover Brother,41604473
Gamer,40828540
Magnum Force,39768000
The Frighteners,29359216
Rendition,24748670
A Nightmare on Elm Street: The Dream Child,22168359
Heavyweights,17689177
Cool Hand Luke,16217773
Bio-Dome,13400000
ワンピース 珍獣島のチョッパー王国,13107237
French Connection II,12484444
The Miracle Season,10230620
Punisher: War Zone,10089373
The Condemned,8642858
劇場版 HUNTER×HUNTER -The LAST MISSION-,7449778
The Crucible,7343114
Our Brand Is Crisis,7002261
The Collection,6842058
The Autopsy of Jane Doe,5972942
Monsters,5639730
Suave Patria,3423685
Superman: Unbound,2915767
Fading Gigolo,2681345
Saludos Amigos,1135000
I Am Mother,643593
羅生門,96568
Mr. Right,34694
Crystal Lake Memories: The Complete History of Friday the 13th,400
Cleopatra,248
Kill Bill: The Whole Bloody Affair,247
Zack Snyder's Justice League,242
Never Sleep Again: The Elm Street Legacy,240
Once Upon a Time in America,229
Lawrence of Arabia,227
Ben-Hur,222
The Ten Commandments,220
American Pie: Revealed,213
American Pie Revealed: The Complete Story of All Three Comedies,213
कभी ख़ुशी कभी ग़म,210
The Irishman,209
War and Peace,208
七人の侍,207
Андрей Рублёв,205
The Godfather: Part II,202
Malcolm X,202
The Lord of the Rings: The Return of the King,201
Doctor Zhivago,200
The Greatest Story Ever Told,199
Anne of Green Gables,199
Spartacus,197
Kış Uykusu,196
Schindler's List,195
Reds,195
Titanic,194
The Right Stuff,193
Gandhi,191
Wyatt Earp,191
दिलवाले दुल्हनिया ले जायेंगे,190
The Green Mile,189
JFK,189
Magnolia,189
Werk ohne Autor,189
The Hateful Eight,188
The Fall of the Roman Empire,188
King Kong,187
कुछ कुछ होता है,185
37°2 le matin,185
Barry Lyndon,185
赤ひげ,185
Superior Firepower: Making 'Aliens',185
The Deer Hunter,184
Pearl Harbor,183
Avengers: Endgame,181
Dances with Wolves,181
The Wolf of Wall Street,180
La Vie d'Adèle - Chapitres 1 et 2,180
Inland Empire,180
The Diary of Anne Frank,180
The Lord of the Rings: The Two Towers,179
The Lord of the Rings: The Fellowship of the Ring,179
Judgment at Nuremberg,179
ドライブ・マイ・カー,179
Braveheart,178
Dogville,178
Joseph,178
The Postman,177
La dolce vita,176
The Sound of Music,175
The Godfather,175
Alexander,175
A Bridge Too Far,175
Around the World in Eighty Days,175
A Hidden Life,174
NARUTO to BORUTO The Live 2019,174
The Bible: In the Beginning...,174
Spartacus,174
The Great Escape,173
A Christmas Carol,173
The Poseidon Adventure,173
Cloud Atlas,172
धूम ३,172
The Thin Red Line,171
Quo Vadis,171
The Unbearable Lightness of Being,171
Ben Gen 10,171
The Aviator,170
Heat,170
The Godfather: Part III,170
My Fair Lady,170
Scarface,170
La leggenda del pianista sull'oceano,170
For Whom the Bell Tolls,170
The Hobbit: An Unexpected Journey,169
Pirates of the Caribbean: At World's End,169
Interstellar,169
Saving Private Ryan,169
It Chapter Two,169
బాహుబలి 2: ది కన్ క్లూజన్,168
King of Kings,168
Le Grand Bleu,168
Gangs of New York,167
The Good Shepherd,167
Солярис,167
The Curious Case of Benjamin Button,166
ज़िन्दगी ना मिलेगी दोबारा,166
C'era una volta il West,166
The Dark Knight Rises,165
Django Unchained,165
The Patriot,165
Australia,165
The Towering Inferno,165
Boyhood,165
My Name Is Khan,165
तारे ज़मीन पर,165
Blade Runner 2049,164
Munich,164
पद्मावत,164
The Last Temptation of Christ,164
ஜெய் பீம்,164
Palmeras en la nieve,164
No Time to Die,163
Troy,163
Watchmen,163
The Last Emperor,163
American Honey,163
Avatar,162
Once Upon a Time… in Hollywood,162
The English Patient,162
Any Given Sunday,162
How the West Was Won,162
ओम शांति ओम,162
Toni Erdmann,162
Сталкер,162
Die Blechtrommel,162
Lykke-Per,162
The Hobbit: The Desolation of Smaug,161
Harry Potter and the Chamber of Secrets,161
Out of Africa,161
The Bridge on the River Kwai,161
"Il buono, il brutto, il cattivo",161
Silence,161
Enter the Void,161
Amadeus,160
The Assassination of Jesse James by the Coward Robert Ford,160
乱,160
Nashville,160
Hamilton,160
Eyes Wide Shut,159
बजरंगी भाईजान,159
Breaking the Waves,159
Dragged Across Concrete,159
Les Misérables,158
The Girl with the Dragon Tattoo,158
బాహుబలి:ద బిగినింగ్,158
There Will Be Blood,158
Joan of Arc,158
The Insider,158
The Guns of Navarone,158
ஜகமே தந்திரம்,158
So weit die Füße tragen,158
Harry Potter and the Goblet of Fire,157
The Revenant,157
American Gangster,157
Eternals,157
Zero Dark Thirty,157
Ali,157
House of Gucci,157
Giù la testa,157
Scent of a Woman,156
Der Untergang,156
色‧戒,156
곡성,156
Caligola,156
La caduta degli dei,156
Da 5 Bloods,156
West Side Story,156
കുറുപ്പ്,156
Gladiator,155
Dune,155
The Firm,155
シン・エヴァンゲリオン劇場版:||,155
The Physician,155
Where Eagles Dare,155
Un prophète,155
Transformers: Dark of the Moon,154
Transformers: The Last Knight,154
The Last Samurai,154
Superman Returns,154
Pulp Fiction,154
Cold Mountain,154
The Color Purple,154
Les Petits Mouchoirs,154
Jackie Brown,154
Amores perros,154
Lolita,154
1492: Conquest of Paradise,154
Peterloo,154
Harry Potter and the Half-Blood Prince,153
Ford v Ferrari,153
Prisoners,153
पीके,153
Empire of the Sun,153
The Last Duel,153
Star Wars: The Last Jedi,152
The Dark Knight,152
Harry Potter and the Philosopher's Stone,152
Batman v Superman: Dawn of Justice,152
Ray,152
Män som hatar kvinnor,152
Doctor Sleep,152
The Majestic,152
Suspiria,152
Pirates of the Caribbean: Dead Man's Chest,151
Armageddon,151
The Departed,151
Wonder Woman 1984,151
Papillon,151
The New World,151
Sophie's Choice,151
The House That Jack Built,151
Dear Zindagi,151
The Square,151
Il traditore,151
Empire of Dreams: The Story of the Star Wars Trilogy,151
愛なき森で叫べ,151
The Chronicles of Narnia: Prince Caspian,150
Tenet,150
Exodus: Gods and Kings,150
Contact,150
The Pianist,150
Das Boot,150
The Dirty Dozen,150
The Raid 2: Berandal,150
STAR DRIVER 閃亮的塔克特 THE MOVIE,150
Avengers: Infinity War,149
Transformers: Revenge of the Fallen,149
The Da Vinci Code,149
Gone Girl,149
Lincoln,149
The Lone Ranger,149
A Time to Kill,149
2001: A Space Odyssey,149
Inherent Vice,149
The Nun's Story,149
Metropolis,149
Michael Jackson: The Life of an Icon,149
The Goldfinch,149
The Last Days of American Crime,149
Spectre,148
Anna and the King,148
Into the Wild,148
Midsommar,148
Biutiful,148
버닝,148
Army of the Dead,148
Brimstone,148
La trinchera infinita,148
I Spit on Your Grave: Déjà Vu,148
火垂るの墓,148
Captain America: Civil War,147
Mission: Impossible - Fallout,147
八佰,147
Bad Boys II,147
Traffic,147
Straight Outta Compton,147
Sleepers,147
Perfume: The Story of a Murderer,147
Luftslottet som sprängdes,147
Mulholland Drive,147
The Matrix Resurrections,147
Spielberg,147
Drive,147
The Glorias,147
砂の女,147
Harry Potter and the Deathly Hallows: Part 1,146
Sex and the City 2,146
赤壁,146
A.I. Artificial Intelligence,146
War Horse,146
Memoirs of a Geisha,146
Man on Fire,146
