original_title,release_date,genre,revenue,runtime,vote_average
F9,5/19/2021,"['Action', 'Crime', 'Thriller']",721077945,143,7.4
No Time to Die,9/29/2021,"['Adventure', 'Action', 'Thriller']",667000000,163,7.4
Zack Snyder's Justice League,3/18/2021,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",657000000,242,8.4
Godzilla vs. Kong,3/24/2021,"['Action', 'Adventure', 'Fantasy']",467863133,113,7.9
Shang-Chi and the Legend of the Ten Rings,9/1/2021,"['Action', 'Adventure', 'Fantasy']",427480601,132,7.7
Venom: Let There Be Carnage,9/30/2021,"['Science Fiction', 'Action', 'Adventure']",424000000,97,6.8
Black Widow,7/7/2021,"['Action', 'Adventure', 'Science Fiction']",378328978,134,7.7
Dune,9/15/2021,"['Action', 'Adventure', 'Science Fiction']",331116356,155,8.0
Free Guy,8/11/2021,"['Comedy', 'Action', 'Adventure', 'Science Fiction']",331096766,115,7.8
A Quiet Place Part II,5/21/2021,"['Science Fiction', 'Thriller', 'Horror']",297372261,97,7.7
Cruella,5/26/2021,"['Comedy', 'Crime']",233274812,134,8.3
Jungle Cruise,7/28/2021,"['Adventure', 'Fantasy', 'Comedy', 'Action']",213644366,127,7.8
怒火,8/13/2021,"['Action', 'Crime']",205000000,128,7.2
The Conjuring: The Devil Made Me Do It,5/25/2021,"['Horror', 'Mystery', 'Thriller']",199166992,111,7.8
The Suicide Squad,7/28/2021,"['Action', 'Adventure', 'Fantasy']",167381210,132,7.8
Eternals,11/3/2021,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",165000000,157,7.1
Peter Rabbit 2: The Runaway,3/25/2021,"['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']",153000000,93,7.4
刺杀小说家,2/12/2021,"['Drama', 'Action', 'Fantasy']",150000000,130,7.4
Space Jam: A New Legacy,7/8/2021,"['Animation', 'Comedy', 'Family', 'Science Fiction']",148810604,115,7.3
Tom & Jerry,2/11/2021,"['Comedy', 'Family', 'Animation']",132000000,101,7.1
Raya and the Last Dragon,3/3/2021,"['Family', 'Fantasy', 'Animation', 'Action', 'Adventure']",130000000,107,8.1
PAW Patrol: The Movie,8/9/2021,"['Animation', 'Family', 'Adventure', 'Comedy']",121000000,86,7.7
Halloween Kills,10/14/2021,"['Horror', 'Thriller']",118852075,105,7.0
The Boss Baby: Family Business,7/1/2021,"['Animation', 'Comedy', 'Adventure', 'Family']",112000000,107,7.7
Wrath of Man,4/22/2021,"['Action', 'Crime', 'Thriller']",103966489,119,7.8
The Addams Family 2,10/1/2021,"['Animation', 'Comedy', 'Family']",93258233,93,7.4
Old,7/21/2021,"['Thriller', 'Mystery', 'Horror']",89500000,108,6.7
Mortal Kombat,4/7/2021,"['Action', 'Fantasy', 'Adventure']",83601013,110,7.3
シン・エヴァンゲリオン劇場版:||,3/8/2021,"['Animation', 'Action', 'Drama', 'Science Fiction']",78334943,155,8.6
Candyman,8/25/2021,"['Horror', 'Thriller']",77389310,91,6.4
The Forever Purge,6/30/2021,"['Horror', 'Action', 'Thriller']",76981630,103,7.4
Hitman's Wife's Bodyguard,6/14/2021,"['Action', 'Comedy', 'Thriller']",69212098,117,7.0
Nobody,3/18/2021,"['Action', 'Crime', 'Thriller', 'Drama']",,61779301,8.3
竜とそばかすの姫,7/16/2021,"['Animation', 'Drama', 'Science Fiction']",,,8.0
Luca,6/17/2021,"['Animation', 'Comedy', 'Family', 'Fantasy']",49010641,95,8.0
Ron's Gone Wrong,10/15/2021,"['Animation', 'Science Fiction', 'Family', 'Comedy']",46000000,106,7.3
Don't Breathe 2,8/12/2021,"['Thriller', 'Horror']",45000000,98,7.7
Escape Room: Tournament of Champions,7/1/2021,"['Horror', 'Thriller', 'Mystery']",44888959,88,6.9
In the Heights,6/10/2021,"['Drama', 'Music', 'Romance']",43000000,143,7.4
僕のヒーローアカデミア THE MOVIE ワールド ヒーローズ ミッション,8/6/2021,"['Animation', 'Action', 'Comedy', 'Fantasy', 'Adventure']",38410729,101,7.2
Snake Eyes: G.I. Joe Origins,7/22/2021,"['Action', 'Adventure']",36964325,121,6.9
